Start,dS,Length
315260287,0,4747
315368650,0,3480
315593397,0,1470
315855370,0,4935
315862588,0,6086
315945674,0.0041,4512
315951457,0.002,12931
316059836,0.0061,1742
316482985,0.0061,1236
316528336,0.0083,1122
316543069,0,3855
316547382,0.0049,5427
316607828,0.0087,737
316758115,0,5905
316789380,0.0044,7096
316890489,0,7867
316939876,0,6492
316947256,0,7574
317227050,0,633
317343137,0,4955
317348526,0,471
317624484,0,2495
317932444,0,3690
318320091,0.002,11818
318968966,0,9495
319095100,0,22033
319286824,0,10231
319451929,0.0012,3403
319666276,0,6853
319761434,0.001,10602
319776231,0,3879
319819297,0,8161
320053352,0,4229
320058297,0,3640
320062623,0,3788
320209542,0.0012,15609
320882191,0.004,1881
320884073,0,1684
320905107,0,3424
321067387,0.0089,11910
321091462,0.0036,2964
321290724,0.0035,1802
321622777,0.007,3477
321632490,0.002,3990
321638068,0,10955
321664100,0,5152
321883363,0,2793
321978718,0,7575
322084499,0.0033,3894
322091803,0,7335
322106898,0.0029,3376
322111432,0,4198
322459959,0,5078
322469272,0,2016
322476771,0,2486
322492708,0,3484
322507074,0.0047,6424
322539932,0.0064,4358
322552568,0,2234
322575261,0,15344
322679161,0.0045,5618
322689786,0,3103
322973647,0.002,2810
323038018,0,9425
323279938,0,10411
323291256,0.0121,2879
323296416,0.0045,9578
323306401,0,1951
323337092,0.0019,5903
323346004,0,7582
323807473,0,849
324250458,0.0066,10812
324312094,0,3658
324347287,0,1242
324803493,0,10424
324867616,0,4490
324874794,0,4421
324978041,0,4464
324982525,0,3705
325215940,0,3489
325220456,0.014,3091
325549074,0,14635
325606466,0,3179
325618960,0,3074
325680536,0.0075,2774
325860553,0.0019,5703
325866559,0,2769
326488188,0,1620
326564917,0.0037,5522
326658839,0,8313
326722610,0,9714
326760006,0,1594
326796183,0.0042,4126
326818933,0,6414
326882253,0.0016,2880
327082545,0.0037,5347
327113790,0,3895
327118159,0.0011,5014
327140362,0.0038,1788
327152592,0.0086,5392
327158065,0,6726
327214520,0.0044,3974
327294585,0,1935
327513987,0.0041,1434
327566578,0,6337
327576008,0,3324
327579413,0,7398
327700093,0,1806
327901791,0.0031,5976
327926873,0.0076,5547
327932258,0.0041,11257
327945693,0.0048,5595
328072879,0.0029,4008
328192084,0,1749
328222565,9e-4,6713
328230993,0,7141
328280617,0.002,9636
328292560,0,9123
328341387,0.0087,3868
328352060,0,4273
328460105,0,4858
328524357,0.0095,5606
328541842,0,6400
328731255,0,7935
328750488,0.0025,7376
328759648,0.0059,9843
