Start,dS,Length
313383782,0.0073,5542
313389325,0,879
313436220,0.0333,4303
313461723,0.0342,4934
313496876,0.0166,7976
313530163,0.0039,4867
313901787,0.0201,2995
313905323,0.0044,7391
315214641,0,2548
315232057,0.0094,5799
315249998,0.0162,3686
315254115,0,2530
315260287,0.0804,4747
315368650,0.0294,3480
315564071,0.0175,4077
315593397,0.0116,1470
315862588,0,6086
315951457,0,12931
316059836,0.0251,1742
316185313,0.0035,5136
316476639,0.0103,5362
316528336,0.0262,1122
316532772,0.0143,3701
316543069,0.0096,3855
316547382,0.0516,5427
316758115,0.0286,5905
316789380,0.0018,7096
317326817,0,2162
317343137,0,4955
317348526,0.0129,471
317624484,0,2495
317699875,0,4108
317932444,0,3690
318259318,0,4473
318320091,0.0043,11818
318896614,0,7633
318968966,0,9495
319095100,0.0013,22033
319286824,0,10231
319666276,0,6853
319761434,0,10602
319776231,0,3879
320053352,0,4229
320905107,0,3424
321067387,0,11910
321091462,0,2964
321135941,0,5888
321283117,0.0043,1810
321622777,0,3477
321632490,0,3990
321638068,0,10955
321664100,0,5152
321877549,0,5382
322111432,0,4198
322459959,0,5078
322465958,0,2948
322469272,0,2016
322476771,0,2486
322492708,0,3484
322507074,0,6424
322539932,0,4358
322552568,0,2234
322575261,0,15344
322623225,0,4453
322679161,0,5618
322973647,0,2810
323038018,0,9425
323279938,0,10411
323296416,0,9578
323306401,0,1951
323332580,0,2016
323337092,0,5903
323346004,0,7582
323383347,0.0065,3611
323387010,0,820
323807473,0,849
324250458,0,10812
324312094,0.0057,3658
324326827,0,3747
324803493,0.0019,10424
324867616,0.0033,4490
324874794,0.0037,4421
324978041,0,4464
324982525,0,3705
325215940,0,3489
325220456,0,3091
325223715,0.0045,2431
325478053,0,3690
325549074,0.0011,14635
325606466,0,3179
325611955,0,4980
325618960,0.0026,3074
325680536,0.0023,2774
326481949,0,4877
326488188,0,1620
326564917,0,5522
326722610,0,9714
326753320,0,4702
326882253,0,2880
327118159,0,5014
327124243,0,964
327140362,0,1788
327152592,0,5392
327158065,0,6726
327513987,0,1434
327566578,0,6337
327576008,0,3324
327579413,0,7398
327901791,0,5976
327926873,0,5547
327932258,0,11257
327945693,0,5595
328072879,0,4008
328192084,0,1749
328280617,0,9636
328292560,0,9123
328460105,0,4858
328524357,0,5606
328782514,0,4903
328798785,0,5205
328838436,0,6949
328847650,0,4721
328854630,0,14559
328871890,0,6794
328966150,0,9601
329089881,0,13421
329365363,0,7037
329390380,0,9595
329455789,0,6935
329477134,0,8285
329494052,0,6455
329503178,0,3348
329507111,0,4061
329511830,0,5009
329532463,0,4368
329585185,0,16415
329651199,0,4817
329667462,0,5055
329806235,0,2976
329809188,0,2502
329813000,0,4817
329818044,0,2319
329919042,0,11953
329932235,0,4178
329937663,0,3646
330136632,0,1894
330165401,0,6164
330222587,0,2456
330535666,0,5583
330599836,0.004,5160
331294485,0,1314
331350903,0,14294
331367738,0,1318
331369022,0,4943
331481426,0,7018
332177736,0,11816
332202725,0.0024,8283
332234774,0,4239
332326567,0,1732
332410782,0,5896
332460725,0,14070
332791941,0,6183
332826123,0.0023,6021
332834341,0,4129
332846822,0.0072,4790
332851980,0,13263
332872513,0,1435
333454905,0,8154
333463454,0.012,2181
333466666,0.0035,3423
333494650,0.0109,5041
333502680,0.005,2755
333508061,0,9188
333518757,0,4539
333523522,0,6595
333556684,0,3516
333654741,0.0018,5338
333683015,0,6183
333693858,0,3707
333710055,0,7214
333793871,0,5635
342666041,0.0049,5642
