Start,dS,Length
329806235,0,2976
329818044,0,2319
329919042,0.0121,11953
329932235,0.0138,4178
329937663,0.0328,3646
330165401,0,6164
330220309,0,2365
330222587,0,2456
331270685,0.0024,6664
331294485,0,1314
331350903,0.0039,14294
331367738,0.0109,1318
331369022,0.0031,4943
332171787,0.0071,4977
332199487,0.0183,3237
332213229,0.0017,10712
332229502,0,5119
332268888,0,6373
332278476,0,2977
332410782,0.0048,5896
332460725,0.0015,14070
332791941,0.0063,6183
332851980,0.0012,13263
332872513,0.0045,1435
333454905,0.021,8154
333463454,0.0316,2181
333466666,0,3423
333502680,0,2755
333508061,0.0021,9188
333523522,0,6595
333556684,0.0121,3516
333654741,0,5338
333693858,0,3707
333914421,0,6308
334010307,0,11429
334097975,0,1496
334301730,0.0038,4282
334404542,0.0079,8437
334610120,0.0021,3879
334621074,0,5587
334633276,0,6466
334719349,0,3549
334734976,0.0038,5658
334759890,0.0057,9685
335012148,0.0085,4054
335034731,0.0094,3179
335651423,0,5130
337023432,0.0217,3897
