fasta_file_Name	X_sequence_name	X_number_internal_stop_codons	X_positions_internal_stop_codons	X_initial_sequence_length	Y_sequence_name	Y_number_stop_codons	Y_positions_stop_codons	Y_initial_sequence_length	final_XY_sequence_length	dS
chr12_000037.1	_chr12_000037.1_X	0		813	_chr12_000037.1_Y	0		813	813	0.0407
chr12_000039.1	_chr12_000039.1_X	0		1863	_chr12_000039.1_Y	0		1863	1863	0.0088
chr12_000042.1	_chr12_000042.1_X	0		1995	_chr12_000042.1_Y	0		1995	1995	0
chr12_000052.1	_chr12_000052.1_X	0		1770	_chr12_000052.1_Y	0		1770	1770	0.0354
chr12_000055.1	_chr12_000055.1_X	0		867	_chr12_000055.1_Y	0		867	867	0.0249
chr12_000056.1	_chr12_000056.1_X	0		2016	_chr12_000056.1_Y	0		2016	2016	0.0093
chr12_000068.1	_chr12_000068.1_X	0		1338	_chr12_000068.1_Y	0		1338	1338	0
chr12_000070.1	_chr12_000070.1_X	0		807	_chr12_000070.1_Y	0		807	807	0.0044
chr12_000072.1	_chr12_000072.1_X	0		1476	_chr12_000072.1_Y	0		1476	1476	0.0335
chr12_000074.1	_chr12_000074.1_X	0		261	_chr12_000074.1_Y	0		261	261	0
chr12_000078.1	_chr12_000078.1_X	0		1560	_chr12_000078.1_Y	0		1560	1560	0
chr12_000083.1	_chr12_000083.1_X	0		867	_chr12_000083.1_Y	0		867	867	0
chr12_000084.1	_chr12_000084.1_X	0		1866	_chr12_000084.1_Y	0		1866	1866	0.0771
chr12_000085.1	_chr12_000085.1_X	0		1845	_chr12_000085.1_Y	0		1845	1845	0.0301
chr12_000087.1	_chr12_000087.1_X	0		3114	_chr12_000087.1_Y	0		3114	3114	0
chr12_000093.1	_chr12_000093.1_X	0		585	_chr12_000093.1_Y	0		585	585	0.0545
chr12_000095.1	_chr12_000095.1_X	0		897	_chr12_000095.1_Y	0		897	897	0
chr12_000102.1	_chr12_000102.1_X	0		2730	_chr12_000102.1_Y	0		2730	2730	0.0044
chr12_000103.1	_chr12_000103.1_X	0		2700	_chr12_000103.1_Y	0		2700	2700	0
chr12_000105.1	_chr12_000105.1_X	0		2832	_chr12_000105.1_Y	0		2832	2832	0.0853
chr12_000106.1	_chr12_000106.1_X	0		4626	_chr12_000106.1_Y	0		4626	4626	0.0372
chr12_000107.1	_chr12_000107.1_X	0		2445	_chr12_000107.1_Y	0		2445	2445	0.0548
chr12_000109.1	_chr12_000109.1_X	0		1485	_chr12_000109.1_Y	0		1485	1485	0
chr12_000117.1	_chr12_000117.1_X	0		2625	_chr12_000117.1_Y	0		2625	2625	0
chr12_000125.1	_chr12_000125.1_X	0		5487	_chr12_000125.1_Y	0		5487	5487	0.0254
chr12_000128.1	_chr12_000128.1_X	0		525	_chr12_000128.1_Y	0		525	525	0.0625
chr12_000132.1	_chr12_000132.1_X	0		1200	_chr12_000132.1_Y	1	,211	1200	1200	0.0130
chr12_000135.1	_chr12_000135.1_X	0		1953	_chr12_000135.1_Y	0		1953	1953	0.0359
chr12_000136.1	_chr12_000136.1_X	0		1662	_chr12_000136.1_Y	0		1662	1662	0.0021
chr12_000142.1	_chr12_000142.1_X	0		1833	_chr12_000142.1_Y	0		1833	1833	0
chr12_000143.1	_chr12_000143.1_X	0		1320	_chr12_000143.1_Y	0		1320	1320	0.0673
chr12_000145.1	_chr12_000145.1_X	0		1593	_chr12_000145.1_Y	0		1593	1593	0.0527
chr12_000146.1	_chr12_000146.1_X	0		1128	_chr12_000146.1_Y	0		1128	1128	0
chr12_000156.1	_chr12_000156.1_X	0		1017	_chr12_000156.1_Y	0		1017	1017	0.0175
chr12_000162.1	_chr12_000162.1_X	0		1572	_chr12_000162.1_Y	0		1572	1572	0
chr12_000164.1	_chr12_000164.1_X	0		1575	_chr12_000164.1_Y	0		1575	1575	0
chr12_000167.1	_chr12_000167.1_X	0		1578	_chr12_000167.1_Y	0		1578	1578	0.0678
chr12_000168.1	_chr12_000168.1_X	0		1233	_chr12_000168.1_Y	0		1233	1233	0.0748
chr12_000169.1	_chr12_000169.1_X	0		4134	_chr12_000169.1_Y	0		4134	4134	0.0282
chr12_000170.1	_chr12_000170.1_X	0		1584	_chr12_000170.1_Y	0		1584	1584	0
chr12_000171.1	_chr12_000171.1_X	0		480	_chr12_000171.1_Y	0		480	480	0.0495
chr12_000173.1	_chr12_000173.1_X	0		2943	_chr12_000173.1_Y	0		2943	2943	0.0204
chr12_000176.1	_chr12_000176.1_X	0		1860	_chr12_000176.1_Y	0		1860	1860	0.0154
chr12_000177.1	_chr12_000177.1_X	0		1833	_chr12_000177.1_Y	0		1833	1833	0.0881
chr12_000178.1	_chr12_000178.1_X	0		1335	_chr12_000178.1_Y	0		1335	1335	0.0037
chr12_000179.1	_chr12_000179.1_X	0		1443	_chr12_000179.1_Y	0		1443	1443	0.0960
chr12_000183.1	_chr12_000183.1_X	0		2097	_chr12_000183.1_Y	0		2097	2097	0
chr12_000185.1	_chr12_000185.1_X	0		813	_chr12_000185.1_Y	0		813	813	0
chr12_000186.1	_chr12_000186.1_X	0		1005	_chr12_000186.1_Y	0		1005	1005	0
chr12_000188.1	_chr12_000188.1_X	0		804	_chr12_000188.1_Y	0		804	804	0
chr12_000189.1	_chr12_000189.1_X	0		1677	_chr12_000189.1_Y	0		1677	1677	0
chr12_000190.1	_chr12_000190.1_X	0		729	_chr12_000190.1_Y	1	,328	729	729	0.0070
chr12_000191.1	_chr12_000191.1_X	0		597	_chr12_000191.1_Y	0		597	597	0.0817
chr12_000192.1	_chr12_000192.1_X	0		693	_chr12_000192.1_Y	0		693	693	0.0059
chr12_000199.1	_chr12_000199.1_X	0		1431	_chr12_000199.1_Y	0		1431	1431	0.0460
chr12_000200.1	_chr12_000200.1_X	0		3189	_chr12_000200.1_Y	0		3189	3189	0.0499
chr12_000205.1	_chr12_000205.1_X	0		1953	_chr12_000205.1_Y	0		1953	1953	0.0270
chr12_000210.1	_chr12_000210.1_X	0		2097	_chr12_000210.1_Y	0		2097	2097	0.0388
chr12_000213.1	_chr12_000213.1_X	0		1491	_chr12_000213.1_Y	0		1491	1491	0
chr12_000215.1	_chr12_000215.1_X	0		960	_chr12_000215.1_Y	0		960	960	0.0739
chr12_000216.1	_chr12_000216.1_X	0		444	_chr12_000216.1_Y	0		444	444	0.0600
chr12_000227.1	_chr12_000227.1_X	0		4320	_chr12_000227.1_Y	0		4320	4320	0
chr12_000228.1	_chr12_000228.1_X	0		891	_chr12_000228.1_Y	0		891	891	0.0233
chr12_000229.1	_chr12_000229.1_X	0		1539	_chr12_000229.1_Y	0		1539	1539	0.0272
chr12_000230.1	_chr12_000230.1_X	0		2313	_chr12_000230.1_Y	0		2313	2313	0
chr12_000231.1	_chr12_000231.1_X	0		2322	_chr12_000231.1_Y	0		2322	2322	0
chr12_000232.1	_chr12_000232.1_X	0		1557	_chr12_000232.1_Y	0		1557	1557	0
chr12_000234.1	_chr12_000234.1_X	0		1080	_chr12_000234.1_Y	0		1080	1080	0
chr12_000236.1	_chr12_000236.1_X	0		2169	_chr12_000236.1_Y	0		2169	2169	0.0831
chr12_000237.1	_chr12_000237.1_X	0		690	_chr12_000237.1_Y	0		690	690	0
chr12_000238.1	_chr12_000238.1_X	0		744	_chr12_000238.1_Y	0		744	744	0
chr12_000239.1	_chr12_000239.1_X	0		4350	_chr12_000239.1_Y	0		4350	4350	0.0326
chr12_000240.1	_chr12_000240.1_X	0		1395	_chr12_000240.1_Y	0		1395	1395	0.0195
chr12_000243.1	_chr12_000243.1_X	0		1161	_chr12_000243.1_Y	0		1161	1161	0
chr12_000244.1	_chr12_000244.1_X	0		678	_chr12_000244.1_Y	1	,643	678	678	0.0237
chr12_000247.1	_chr12_000247.1_X	0		5133	_chr12_000247.1_Y	0		5133	5133	0.0154
chr12_000249.1	_chr12_000249.1_X	0		1725	_chr12_000249.1_Y	0		1725	1725	0.0080
chr12_000250.1	_chr12_000250.1_X	0		2667	_chr12_000250.1_Y	0		2667	2667	0.0052
chr12_000253.1	_chr12_000253.1_X	0		6321	_chr12_000253.1_Y	0		6321	6321	0.0216
chr12_000255.1	_chr12_000255.1_X	0		1236	_chr12_000255.1_Y	0		1236	1236	0.0120
chr12_000259.1	_chr12_000259.1_X	0		1695	_chr12_000259.1_Y	0		1695	1695	0.0205
chr12_000269.1	_chr12_000269.1_X	0		861	_chr12_000269.1_Y	0		861	861	0.0316
chr12_000270.1	_chr12_000270.1_X	0		1977	_chr12_000270.1_Y	0		1977	1977	0
chr12_000271.1	_chr12_000271.1_X	0		2313	_chr12_000271.1_Y	0		2313	2313	0.0226
chr12_000272.1	_chr12_000272.1_X	0		513	_chr12_000272.1_Y	0		513	513	0
chr12_000275.1	_chr12_000275.1_X	0		2103	_chr12_000275.1_Y	0		2103	2103	0.0052
chr12_000277.1	_chr12_000277.1_X	0		489	_chr12_000277.1_Y	0		489	489	0.0313
chr12_000280.1	_chr12_000280.1_X	0		1203	_chr12_000280.1_Y	0		1203	1203	0.0093
chr12_000281.1	_chr12_000281.1_X	0		2355	_chr12_000281.1_Y	0		2355	2355	0.0030
chr12_000282.1	_chr12_000282.1_X	0		1185	_chr12_000282.1_Y	0		1185	1185	0.0224
chr12_000285.1	_chr12_000285.1_X	0		2520	_chr12_000285.1_Y	0		2520	2520	0.0097
chr12_000289.1	_chr12_000289.1_X	0		3966	_chr12_000289.1_Y	0		3966	3966	0.0071
chr12_000299.1	_chr12_000299.1_X	0		1977	_chr12_000299.1_Y	0		1977	1977	0.0059
chr12_000300.1	_chr12_000300.1_X	0		1365	_chr12_000300.1_Y	0		1365	1365	0.0064
chr12_000301.1	_chr12_000301.1_X	0		1722	_chr12_000301.1_Y	1	,1489	1722	1722	0.0265
chr12_000302.1	_chr12_000302.1_X	0		1200	_chr12_000302.1_Y	0		1200	1200	0.0217
chr12_000304.1	_chr12_000304.1_X	0		1155	_chr12_000304.1_Y	0		1155	1155	0.0036
chr12_000306.1	_chr12_000306.1_X	0		534	_chr12_000306.1_Y	0		534	534	0.0170
chr12_000321.1	_chr12_000321.1_X	0		1032	_chr12_000321.1_Y	0		1032	1032	0.0238
chr12_000337.1	_chr12_000337.1_X	0		570	_chr12_000337.1_Y	0		570	570	0
chr12_000338.1	_chr12_000338.1_X	0		606	_chr12_000338.1_Y	0		606	606	0.0285
chr12_000339.1	_chr12_000339.1_X	0		963	_chr12_000339.1_Y	0		963	963	0.0243
chr12_000340.1	_chr12_000340.1_X	0		4143	_chr12_000340.1_Y	0		4143	4143	0
chr12_000342.1	_chr12_000342.1_X	0		2256	_chr12_000342.1_Y	0		2256	2256	0.0137
chr12_000343.1	_chr12_000343.1_X	0		360	_chr12_000343.1_Y	0		360	360	0
chr12_000346.1	_chr12_000346.1_X	0		1176	_chr12_000346.1_Y	0		1176	1176	0
chr12_000353.1	_chr12_000353.1_X	0		1443	_chr12_000353.1_Y	0		1443	1443	0
chr12_000354.1	_chr12_000354.1_X	0		3195	_chr12_000354.1_Y	0		3195	3195	0.0124
chr12_000356.1	_chr12_000356.1_X	0		3120	_chr12_000356.1_Y	0		3120	3120	0
chr12_000359.1	_chr12_000359.1_X	0		1944	_chr12_000359.1_Y	0		1944	1944	0
chr12_000365.1	_chr12_000365.1_X	0		465	_chr12_000365.1_Y	0		465	465	0.0360
chr12_000380.1	_chr12_000380.1_X	0		1098	_chr12_000380.1_Y	0		1098	1098	0.0360
chr12_000381.1	_chr12_000381.1_X	0		1164	_chr12_000381.1_Y	1	,646	1164	1164	0.0669
chr12_000392.1	_chr12_000392.1_X	0		2088	_chr12_000392.1_Y	0		2088	2088	0
chr12_000399.1	_chr12_000399.1_X	0		2586	_chr12_000399.1_Y	0		2586	2586	0.0922
chr12_000403.1	_chr12_000403.1_X	0		3129	_chr12_000403.1_Y	0		3129	3129	0
chr12_000417.1	_chr12_000417.1_X	0		1989	_chr12_000417.1_Y	0		1989	1989	0
chr12_000420.1	_chr12_000420.1_X	0		1641	_chr12_000420.1_Y	0		1641	1641	0.0491
chr12_000426.1	_chr12_000426.1_X	0		2871	_chr12_000426.1_Y	0		2871	2871	0.0359
chr12_000438.1	_chr12_000438.1_X	0		2844	_chr12_000438.1_Y	0		2844	2844	0.0331
chr12_000439.1	_chr12_000439.1_X	0		1497	_chr12_000439.1_Y	0		1497	1497	0.0282
chr12_000440.1	_chr12_000440.1_X	0		1227	_chr12_000440.1_Y	0		1227	1227	0
chr12_000444.1	_chr12_000444.1_X	0		1971	_chr12_000444.1_Y	0		1971	1971	0.0261
chr12_000450.1	_chr12_000450.1_X	0		1305	_chr12_000450.1_Y	0		1305	1305	0.0092
chr12_000451.1	_chr12_000451.1_X	0		486	_chr12_000451.1_Y	0		486	486	0
chr12_000454.1	_chr12_000454.1_X	0		948	_chr12_000454.1_Y	0		948	948	0.0076
chr12_000455.1	_chr12_000455.1_X	0		462	_chr12_000455.1_Y	0		462	462	0
chr12_000457.1	_chr12_000457.1_X	0		1923	_chr12_000457.1_Y	0		1923	1923	0
chr12_000458.1	_chr12_000458.1_X	0		780	_chr12_000458.1_Y	0		780	780	0.0318
chr12_000469.1	_chr12_000469.1_X	0		2442	_chr12_000469.1_Y	0		2442	2442	0.0262
chr12_000471.1	_chr12_000471.1_X	0		3036	_chr12_000471.1_Y	0		3036	3036	0.0257
chr12_000476.1	_chr12_000476.1_X	0		1896	_chr12_000476.1_Y	0		1896	1896	0.0240
chr12_000477.1	_chr12_000477.1_X	0		1029	_chr12_000477.1_Y	0		1029	1029	0
chr12_000480.1	_chr12_000480.1_X	0		3039	_chr12_000480.1_Y	0		3039	3039	0.0271
chr12_000481.1	_chr12_000481.1_X	0		1404	_chr12_000481.1_Y	0		1404	1404	0.0178
chr12_000482.1	_chr12_000482.1_X	0		2922	_chr12_000482.1_Y	0		2922	2922	0
chr12_000483.1	_chr12_000483.1_X	0		1785	_chr12_000483.1_Y	0		1785	1785	0.0047
chr12_000494.1	_chr12_000494.1_X	0		1179	_chr12_000494.1_Y	0		1179	1179	0.0302
chr12_000505.1	_chr12_000505.1_X	0		492	_chr12_000505.1_Y	0		492	492	0.0111
chr12_000513.1	_chr12_000513.1_X	0		990	_chr12_000513.1_Y	0		990	990	0
chr12_000535.1	_chr12_000535.1_X	0		864	_chr12_000535.1_Y	0		864	864	0
chr12_000537.1	_chr12_000537.1_X	0		1359	_chr12_000537.1_Y	0		1359	1359	0
chr12_000547.1	_chr12_000547.1_X	0		1575	_chr12_000547.1_Y	0		1575	1575	0.0334
chr12_000558.1	_chr12_000558.1_X	0		645	_chr12_000558.1_Y	0		645	645	0
chr12_000559.1	_chr12_000559.1_X	0		1827	_chr12_000559.1_Y	0		1827	1827	0.0544
chr12_000570.1	_chr12_000570.1_X	0		984	_chr12_000570.1_Y	0		984	984	0.0417
chr12_000580.1	_chr12_000580.1_X	0		1365	_chr12_000580.1_Y	0		1365	1365	0.0216
chr12_000582.1	_chr12_000582.1_X	0		2298	_chr12_000582.1_Y	0		2298	2298	0
chr12_000585.1	_chr12_000585.1_X	0		213	_chr12_000585.1_Y	0		213	213	0.0757
chr12_000592.1	_chr12_000592.1_X	0		1002	_chr12_000592.1_Y	0		1002	1002	0.0045
chr12_000593.1	_chr12_000593.1_X	0		2601	_chr12_000593.1_Y	0		2601	2601	0.0957
chr12_000595.1	_chr12_000595.1_X	0		981	_chr12_000595.1_Y	0		981	981	0.1089
chr12_000598.1	_chr12_000598.1_X	0		1716	_chr12_000598.1_Y	0		1716	1716	0.0513
chr12_000616.1	_chr12_000616.1_X	0		636	_chr12_000616.1_Y	0		636	636	0.0567
chr12_000624.1	_chr12_000624.1_X	0		1698	_chr12_000624.1_Y	0		1698	1698	0.0545
chr12_000634.1	_chr12_000634.1_X	0		1704	_chr12_000634.1_Y	0		1704	1704	0.0630
chr12_000661.1	_chr12_000661.1_X	0		1788	_chr12_000661.1_Y	0		1788	1788	0
chr12_000673.1	_chr12_000673.1_X	0		1254	_chr12_000673.1_Y	0		1254	1254	0.0832
chr12_000688.1	_chr12_000688.1_X	0		1326	_chr12_000688.1_Y	0		1326	1326	0.1353
chr12_000722.1	_chr12_000722.1_X	0		2829	_chr12_000722.1_Y	0		2829	2829	0.0035
chr12_000725.1	_chr12_000725.1_X	0		2184	_chr12_000725.1_Y	0		2184	2184	0.0038
chr12_000743.1	_chr12_000743.1_X	0		1287	_chr12_000743.1_Y	0		1287	1287	0.0230
chr12_000744.1	_chr12_000744.1_X	0		279	_chr12_000744.1_Y	0		279	279	0.0328
chr12_000745.1	_chr12_000745.1_X	0		1251	_chr12_000745.1_Y	0		1251	1251	0.0196
chr12_000750.1	_chr12_000750.1_X	0		1716	_chr12_000750.1_Y	0		1716	1716	0.0242
chr12_000760.1	_chr12_000760.1_X	0		1674	_chr12_000760.1_Y	0		1674	1674	0.0505
chr12_000774.1	_chr12_000774.1_X	0		1215	_chr12_000774.1_Y	0		1215	1215	0.0184
chr12_000786.1	_chr12_000786.1_X	0		681	_chr12_000786.1_Y	0		681	681	0.0345
chr12_000813.1	_chr12_000813.1_X	0		1356	_chr12_000813.1_Y	0		1356	1356	0.0694
chr12_000828.1	_chr12_000828.1_X	0		1665	_chr12_000828.1_Y	0		1665	1665	0.0324
chr12_000832.1	_chr12_000832.1_X	0		663	_chr12_000832.1_Y	0		663	663	0.0543
chr12_000840.1	_chr12_000840.1_X	0		483	_chr12_000840.1_Y	0		483	483	0.0581
chr12_000860.1	_chr12_000860.1_X	0		1761	_chr12_000860.1_Y	0		1761	1761	0.0408
chr12_000867.1	_chr12_000867.1_X	0		1347	_chr12_000867.1_Y	0		1347	1347	0.0510
chr12_000880.1	_chr12_000880.1_X	0		1065	_chr12_000880.1_Y	0		1065	1065	0.0269
chr12_000887.1	_chr12_000887.1_X	0		1362	_chr12_000887.1_Y	0		1362	1362	0.0329
chr12_000892.1	_chr12_000892.1_X	0		1164	_chr12_000892.1_Y	0		1164	1164	0.0440
chr12_000914.1	_chr12_000914.1_X	0		2574	_chr12_000914.1_Y	0		2574	2574	0.0277
chr12_000983.1	_chr12_000983.1_X	0		1176	_chr12_000983.1_Y	0		1176	1176	0.0483
chr12_000993.1	_chr12_000993.1_X	0		2889	_chr12_000993.1_Y	0		2889	2889	0.0028
chr12_001008.1	_chr12_001008.1_X	0		1380	_chr12_001008.1_Y	0		1380	1380	0.0350
chr12_001009.1	_chr12_001009.1_X	0		609	_chr12_001009.1_Y	0		609	609	0.0113
chr12_001017.1	_chr12_001017.1_X	0		1473	_chr12_001017.1_Y	1	,1459	1473	1473	0.0127
chr12_001026.1	_chr12_001026.1_X	0		2616	_chr12_001026.1_Y	0		2616	2616	0.0293
chr12_001044.1	_chr12_001044.1_X	0		9720	_chr12_001044.1_Y	0		9720	9720	0.0288
chr12_001051.1	_chr12_001051.1_X	0		306	_chr12_001051.1_Y	0		306	306	0.0797
chr12_001052.1	_chr12_001052.1_X	0		996	_chr12_001052.1_Y	0		996	996	0.0350
chr12_001054.1	_chr12_001054.1_X	0		2430	_chr12_001054.1_Y	0		2430	2430	0.0406
chr12_001060.1	_chr12_001060.1_X	0		1041	_chr12_001060.1_Y	0		1041	1041	0.0581
chr12_001064.1	_chr12_001064.1_X	0		1032	_chr12_001064.1_Y	0		1032	1032	0.0287
chr12_001081.1	_chr12_001081.1_X	0		267	_chr12_001081.1_Y	0		267	267	0.0139
chr12_001086.1	_chr12_001086.1_X	0		3573	_chr12_001086.1_Y	0		3573	3573	0.0241
chr12_001102.1	_chr12_001102.1_X	0		447	_chr12_001102.1_Y	0		447	447	0.0117
chr12_001104.1	_chr12_001104.1_X	0		1578	_chr12_001104.1_Y	0		1578	1578	0.0412
chr12_001109.1	_chr12_001109.1_X	0		3738	_chr12_001109.1_Y	0		3738	3738	0.0437
chr12_001126.1	_chr12_001126.1_X	0		1317	_chr12_001126.1_Y	0		1317	1317	0.0491
chr12_001135.1	_chr12_001135.1_X	0		1536	_chr12_001135.1_Y	0		1536	1536	0.0407
chr12_001143.1	_chr12_001143.1_X	0		627	_chr12_001143.1_Y	0		627	627	0.0714
chr12_001148.1	_chr12_001148.1_X	0		498	_chr12_001148.1_Y	0		498	498	0.0086
chr12_001154.1	_chr12_001154.1_X	0		648	_chr12_001154.1_Y	0		648	648	0.0687
chr12_001184.1	_chr12_001184.1_X	0		2730	_chr12_001184.1_Y	0		2730	2730	0.0400
chr12_001219.1	_chr12_001219.1_X	0		753	_chr12_001219.1_Y	0		753	753	0.0338
chr12_001246.1	_chr12_001246.1_X	0		3609	_chr12_001246.1_Y	0		3609	3609	0.0109
chr12_001247.1	_chr12_001247.1_X	0		1056	_chr12_001247.1_Y	0		1056	1056	0.0272
chr12_001251.1	_chr12_001251.1_X	0		1125	_chr12_001251.1_Y	0		1125	1125	0.0389
chr12_001252.1	_chr12_001252.1_X	0		1302	_chr12_001252.1_Y	0		1302	1302	0.0413
chr12_001261.1	_chr12_001261.1_X	0		1464	_chr12_001261.1_Y	0		1464	1464	0.0394
chr12_001265.1	_chr12_001265.1_X	0		1410	_chr12_001265.1_Y	0		1410	1410	0.0117
chr12_001271.1	_chr12_001271.1_X	0		1506	_chr12_001271.1_Y	0		1506	1506	0.0315
chr12_001285.1	_chr12_001285.1_X	0		3789	_chr12_001285.1_Y	0		3789	3789	0.0406
chr12_001293.1	_chr12_001293.1_X	0		1017	_chr12_001293.1_Y	0		1017	1017	0.0574
chr12_001324.1	_chr12_001324.1_X	0		1803	_chr12_001324.1_Y	0		1803	1803	0.0543
chr12_001327.1	_chr12_001327.1_X	0		1572	_chr12_001327.1_Y	0		1572	1572	0.0221
chr12_001351.1	_chr12_001351.1_X	0		2430	_chr12_001351.1_Y	0		2430	2430	0.0120
chr12_001358.1	_chr12_001358.1_X	0		678	_chr12_001358.1_Y	0		678	678	0.0396
chr12_001382.1	_chr12_001382.1_X	0		852	_chr12_001382.1_Y	0		852	852	0.0543
chr12_001398.1	_chr12_001398.1_X	0		465	_chr12_001398.1_Y	0		465	465	0.0714
chr12_001406.1	_chr12_001406.1_X	0		2733	_chr12_001406.1_Y	0		2733	2733	0.0457
chr12_001408.1	_chr12_001408.1_X	0		648	_chr12_001408.1_Y	0		648	648	0.0246
chr12_001411.1	_chr12_001411.1_X	0		3504	_chr12_001411.1_Y	0		3504	3504	0.0319
chr12_001433.1	_chr12_001433.1_X	0		1626	_chr12_001433.1_Y	0		1626	1626	0.0511
chr12_001449.1	_chr12_001449.1_X	0		1740	_chr12_001449.1_Y	0		1740	1740	0.0207
chr12_001451.1	_chr12_001451.1_X	0		567	_chr12_001451.1_Y	0		567	567	0.0406
chr12_001459.1	_chr12_001459.1_X	0		933	_chr12_001459.1_Y	0		933	933	0
chr12_001488.1	_chr12_001488.1_X	0		675	_chr12_001488.1_Y	0		675	675	0.0372
chr12_001496.1	_chr12_001496.1_X	0		2901	_chr12_001496.1_Y	0		2901	2901	0.0460
chr12_001497.1	_chr12_001497.1_X	0		690	_chr12_001497.1_Y	0		690	690	0.0139
chr12_001500.1	_chr12_001500.1_X	0		654	_chr12_001500.1_Y	0		654	654	0.0709
chr12_001503.1	_chr12_001503.1_X	0		1059	_chr12_001503.1_Y	0		1059	1059	0.0271
chr12_001504.1	_chr12_001504.1_X	0		942	_chr12_001504.1_Y	0		942	942	0.0169
chr12_001509.1	_chr12_001509.1_X	0		2307	_chr12_001509.1_Y	0		2307	2307	0.0215
chr12_001530.1	_chr12_001530.1_X	0		1143	_chr12_001530.1_Y	0		1143	1143	0
chr12_001531.1	_chr12_001531.1_X	0		885	_chr12_001531.1_Y	0		885	885	0.0472
chr12_001556.1	_chr12_001556.1_X	0		1467	_chr12_001556.1_Y	0		1467	1467	0.0124
chr12_001565.1	_chr12_001565.1_X	0		981	_chr12_001565.1_Y	0		981	981	0.0194
chr12_001575.1	_chr12_001575.1_X	0		1596	_chr12_001575.1_Y	0		1596	1596	0.0243
chr12_001581.1	_chr12_001581.1_X	0		1140	_chr12_001581.1_Y	0		1140	1140	0.0159
chr12_001583.1	_chr12_001583.1_X	0		873	_chr12_001583.1_Y	0		873	873	0.0361
chr12_001588.1	_chr12_001588.1_X	0		2184	_chr12_001588.1_Y	0		2184	2184	0.0403
chr12_001599.1	_chr12_001599.1_X	0		2403	_chr12_001599.1_Y	0		2403	2403	0.0152
chr12_001604.1	_chr12_001604.1_X	0		1908	_chr12_001604.1_Y	0		1908	1908	0
chr12_001608.1	_chr12_001608.1_X	0		1326	_chr12_001608.1_Y	0		1326	1326	0.0204
